id,physical_description,unit_capture,size,len_comp_size,size_comp_flag,width,height,optional
21192,CARD; ILLUS; COL; 6 X 8;,inches,6.0X8.0,,0,6.0,8.0,
21193,BROADSIDE; 5X9.2,inches,5.0X9.2,,0,5.0,9.2,
21194,BOOKLET; ILLUS; COL; 7 X 10.25;,inches,7.0X10.25,,0,7.0,10.25,
21195,BROADSIDE; 6.75 X 9;,inches,6.75X9.0,,0,6.75,9.0,
21196,FOLDER; ILLUS; 3.5 X 5,inches,3.5X5.0,,0,3.5,5.0,
21197,BROADSHEET; 4.25;4.25;,inches,4.25X4.25,,0,4.25,4.25,
21198,CARD; COL; 4.5 X 8;,inches,4.5X8.0,,0,4.5,8.0,
21199,BOOKLET;ILL;COL;7X5;,inches,7.0X5.0,,0,7.0,5.0,
21200,BOOKLET; ILLUS; COL; 5.25 X 7;,inches,5.25X7.0,,0,5.25,7.0,
21201,2 CARDS JOINED BY YELLOW RIBBON; COL; 4.75 X 8;,inches,4.75X8.0,,0,4.75,8.0,
21202,BOOKLET; ILLUS; 5.25 X 6.5;,inches,5.25X6.5,,0,5.25,6.5,
21203,BROADSIDE; 5.75 X 8;,inches,5.75X8.0,,0,5.75,8.0,
21204,CARD; ILLUS; COL; 7.75X10;,inches,7.75X10.0,,0,7.75,10.0,
21205,BOOKLET; ILLUS; COL; 4X8.75;,inches,4.0X8.75,,0,4.0,8.75,
21206,FOLDER; ILLUS; COL; 4.5X7.25;,inches,4.5X7.25,,0,4.5,7.25,
21207,FOLDER;ILL;COL;5.25X7.5;,inches,5.25X7.5,,0,5.25,7.5,
21208,BOOKLET; RIBBON TRIM; ILLUS; 7 X 9;,inches,7.0X9.0,,0,7.0,9.0,
21209,FOLDER; 7.75X12.0;,inches,7.75X12.0,,0,7.75,12.0,
21210,CARD; 4 X 6.5;,inches,4.0X6.5,,0,4.0,6.5,
21211,BROADSIDE; 4.5 X 8;,inches,4.5X8.0,,0,4.5,8.0,
21212,BOOKLET; ILLUS; COL; 6.25X8.75;,inches,6.25X8.75,,0,6.25,8.75,
21213,FOLDER;6.5X9.25;,inches,6.5X9.25,,0,6.5,9.25,
21214,BROADSHEET; ILLUS; 5 x 8;,inches,5.0X8.0,,0,5.0,8.0,
21215,BOOKLET; COL; 5 X 7.25;,inches,5.0X7.25,,0,5.0,7.25,
21216,CARD; 4.5 X 7.75;,inches,4.5X7.75,,0,4.5,7.75,
21217,BROADSHEET,0,,,0,,,
21218,CARD; ILLUS; COL; 7X11;,inches,7.0X11.0,,0,7.0,11.0,
21219,BOOKLET; ILLUS; COL; 5X6.75;,inches,5.0X6.75,,0,5.0,6.75,
21220,FOLDER;ILL;COL;5.25X7.5;,inches,5.25X7.5,,0,5.25,7.5,
21221,BOOKLET; ILLUS; COL; 4.5X6;,inches,4.5X6.0,,0,4.5,6.0,
