,Occurrance,Frequency
411,"('ILLUS', '4.75X6.5')",2
412,"('COL', '6.25X8')",4
413,"('ILLUS', '5.5X6.5')",1
414,"('COL', '6X7.75')",8
415,"('COL', '6X11.75')",1
416,"('COL', '4.5X3.25')",1
417,"('COL', '5.75X7.75')",4
418,"('COL', '6.25')",13
419,"('BROADSIDE', '8')",1
420,"('FOLDER', '6.5X10.5')",3
421,"('ILLUS', '3.75')",7
422,"('COL', '4.25')",31
423,"('BROADSIDE', 'ENGRAVED')",3
424,"('ENGRAVED', 'EMBLRM')",1
425,"('EMBLRM', 'COL')",1
426,"('ENGRAVED', 'EMBLEM')",2
427,"('BROADSIDE', '5')",17
428,"('ILLUS', 'IN')",2
429,"('COLOR', 'JAPANESE')",1
430,"('JAPANESE', 'SCENES')",1
431,"('SCENES', '10')",1
432,"('FOLDER', 'LLUS')",2
433,"('LLUS', 'COL')",1
434,"('FOLDER', '3.5X7.75')",1
435,"('BROADSHEET', '5.25X7.5')",2
436,"('CARD', '4.75X6.5')",1
437,"('COL', '5.75X8.75')",7
438,"('CARD', '6')",10
439,"('FOLDER', '6.75X10.5')",2
440,"('ILLUS', '5.75X8.5')",7
441,"('ILLUS', '4.5X5.5')",4
442,"('CARD', '5.25X7.75')",2
443,"('COL', '4X7.25')",8
444,"('COL', '3.25X5.5')",2
445,"('COL', '5X7.75')",11
446,"('ILLUS', '4.75X7.5')",3
447,"('ILLUS', '3.5X5.75')",2
448,"('COL', '7X9.75')",4
449,"('COL', '6.5X11')",1
450,"('BROADSIDE', 'CLUB')",3
451,"('CLUB', 'EMBLEM')",3
452,"('FOLDER', '5.5')",20
453,"('BROADSHEET', 'ILLLUS')",1
454,"('ILLLUS', 'COL')",1
455,"('COL', '6.75X9.75')",1
456,"('ILLUS', '5X8')",21
457,"('BOOKLET', 'JOINED')",4
458,"('JOINED', 'BY')",11
459,"('BY', 'RIBBON')",5
460,"('RIBBON', 'ILLUS')",6
461,"('ILLUS', '4X6')",12
462,"('COL', '3.5X5.5')",4
463,"('FOLDER', '3.25X5.75')",1
464,"('ILLUS', '5.5X4')",1
465,"('X', '10.25')",13
466,"('BOOKLET', '7')",1
467,"('BOOKLET', 'RIBBON')",15
468,"('RIBBON', 'TRIM')",40
469,"('TRIM', 'ILLUS')",11
470,"('COL', '5.75')",15
471,"('BROADSIDE', '4')",22
472,"('BROADSHEET', '5.25')",2
473,"('FOLDER', 'GOLD')",3
474,"('GOLD', 'FIGURE')",1
475,"('FIGURE', 'COL')",1
476,"('X', '.5')",1
477,"('BOKLET', 'ILLUS')",1
478,"('COL', '4.25X8')",2
479,"('ILLUS', '5.5X9')",2
480,"('ILLUS', '10.25')",39
481,"('10.25', 'X')",46
482,"('COL', '5.5X8.8')",8
483,"('COL', '5X6')",6
484,"('ILLUS', '7X12')",1
485,"('ILLUS', '7.5X12.5')",1
486,"('COL', '7X11.5')",1
487,"('CARD', '6.25X9.75')",1
488,"('COL', '5.0X6.25')",1
489,"('COL', '4.75X6')",7
490,"('ILLUS', '5X7')",11
491,"('COL', '5X7.5')",44
492,"('ILLUS', '8.5')",6
493,"('X', '13')",4
494,"('CARD', '3.25X5.25')",2
495,"('COL', '10.75X9')",2
496,"('ILLUS.COVER', '5.25')",1
497,"('FOLDER', '7X11')",5
498,"('CARD', '5.5X7')",1
499,"('ILLUS', '6.75X11')",1
500,"('COL', '6.5X8.5')",4
501,"('GOLD', 'HOTEL')",1
502,"('COL', '4.25X6.75')",5
503,"('ILL', '3.5X9.25')",1
504,"('ILL', '5.5X7.5')",2
505,"('BROADSHEET', '5.75X8.75')",14
506,"('CARD', '4X5')",2
507,"('CARD', '5.5X6.6')",4
508,"('COL', '5.25X8.25')",27
509,"('COL', '6.5X6.5')",1
510,"('4.5', 'X.6.5')",5
511,"('ILLUS', '4.75')",19
512,"('BROADSIDE', 'SILVER')",2
513,"('SILVER', 'TRIM')",1
514,"('TRIM', '5')",5
515,"('BROADSHEET', '6')",1
516,"('ILLUS', 'ON')",8
517,"('ON', 'EACH')",1
518,"('EACH', 'PAGE')",1
519,"('PAGE', 'COL')",1
520,"('COL', '10')",5
521,"('BOOKLET', '6')",9
522,"('BOOKLET', 'COL')",92
523,"('ILLUS', '6.25X9.5')",3
524,"('ILLUS', '4.5X5.25')",1
525,"('BROADSIDE', '7.75X11.25')",1
526,"('6', 'x')",28
527,"('x', '9.75')",5
528,"('9.75', 'in.')",1
529,"('ILLUS', '4.75X6.75')",2
530,"('ILLUS', '6X9')",8
531,"('COL', '10.5')",18
532,"('10.5', 'X')",18
533,"('COLOR', '10.25')",1
534,"('ON', 'EVERY')",1
535,"('EVERY', 'PAGE')",1
536,"('PAGE', 'IN')",1
537,"('COLOR', '4.5')",3
538,"('CO', '5.5')",1
539,"('X', '13.25')",2
540,"('COL', '3X4.25')",1
541,"('COL', '5.5.X')",8
542,"('5.5.X', '7')",4
543,"('5.5.X', '8.25')",1
544,"('X', '4.25')",10
545,"('BROADSHEET', '4.5X6.5')",3
546,"('ILLUS', '5.25X6.25')",1
547,"('COL', '6.75X8.75')",1
548,"('ILLUS', '4.25X7')",9
549,"('CARD', '5.0X7.0')",1
550,"('7.25', 'ILLUS')",2
551,"('ILLUS', '5X6.75')",2
552,"('CARD', '4X6')",9
553,"('FOLDER', '8')",2
554,"('FOLDER', 'CIL')",1
555,"('CIL', '4.25')",1
556,"('CARD', 'RIBBON')",1
557,"('COL', '7X9')",4
558,"('COL', '5.0X6.0')",2
559,"('BROADSIDE', '4.57.25')",1
560,"('BROADSIDE', '5.5X7.0')",2
561,"('BROADSIDE', '3.5X9.25')",1
562,"('COL', '4.5X7.0')",1
563,"('ILLUS', '7.25X12.75')",3
564,"('ILL', '7X10')",2
565,"('COL', '5.5X6.5')",5
566,"('BROADSHEET', '4.5X6.75')",2
567,"('COL', '4.25X8.50')",3
568,"('CARD', '6.25X10.75')",7
569,"('BROADSHEET', '9X11.5')",1
570,"('COL', '3.5X6.0')",1
571,"('COL', '6.5X10.5')",1
572,"('ILLUS', '8.5X10')",1
573,"('ILLUS', '5.25X8/25')",1
574,"('COL', '6.5X12.0')",1
575,"('CARD', '3.75X6.75')",1
576,"('CARD', '4.5X4.5')",1
577,"('COL', '10.5X10')",1
578,"('GOLD', 'EMBLEM')",4
