id,width,height,optional
12723,5.5,8.5,
12724,6.25,10.5,
12725,5.75,8.75,
12726,5.75,8.75,
12728,5.0,8.0,
12729,5.0,8.5,
12731,3.25,5.25,
12732,4.5,7.5,
12733,4.5,7.5,
12736,5.0,8.25,
12737,7.0,12.25,
12738,4.25,7.0,
12739,4.0,6.25,
12740,4.25,6.5,
12746,4.5,7.25,
12747,5.0,7.0,
12749,4.25,6.5,
12751,4.5,7.0,
12754,7.0,11.0,
12755,7.0,11.0,
12757,5.5,8.5,
12758,5.5,8.5,
12759,4.0,7.0,
12763,4.75,7.25,
12764,4.25,6.25,
12765,5.5,8.25,
12766,5.25,8.5,
12767,4.25,6.5,
12768,5.0,8.0,
12769,5.0,8.0,
12770,4.0,6.0,
12771,4.25,6.5,
12772,5.5,8.5,
12773,5.5,8.5,
12774,6.5,10.0,
12775,6.0,9.5,
12776,5.0,8.0,
12778,4.25,6.75,
12780,9.0,7.0,
12781,5.5,9.0,
12782,6.25,8.75,
12783,6.25,10.0,
12784,7.0,11.0,
12786,5.25,7.5,
12787,8.0,10.5,
12788,5.5,9.5,
12789,6.0,9.5,
12790,5.25,7.25,
12792,4.25,7.0,
12793,4.5,7.5,
12794,4.25,6.5,
12795,5.5,4.0,
12797,4.5,7.0,
12798,4.0,5.5,
12799,3.75,6.0,
12800,4.5,7.0,
12801,,,
12802,5.5,8.0,
12803,3.75,6.0,
12804,6.5,10.0,
12805,5.5,7.0,
12806,5.25,7.5,
12807,3.75,6.0,
12808,5.5,9.0,
12809,4.25,6.5,
12810,4.5,7.25,
12811,5.5,8.5,
12812,5.25,7.5,
12814,6.0,12.0,
12815,6.75,10.0,
12816,4.5,7.0,
12817,4.5,5.75,
12818,4.5,5.75,
12819,6.0,9.5,
12820,5.5,7.75,
12821,4.25,6.5,
12824,5.0,6.5,
12826,5.0,7.0,
12827,4.5,6.5,
12828,4.5,7.0,
12831,6.0,9.75,
12833,5.0,8.0,
12834,5.0,8.0,
12835,3.75,6.0,
12836,4.5,6.5,
12837,6.0,9.5,
12838,4.25,7.0,
12839,5.5,8.5,
12840,7.0,11.0,
12841,7.0,11.0,
12842,7.0,13.0,
12843,5.5,8.5,
12844,5.5,8.5,
12845,5.5,8.5,
12846,5.5,7.25,
12847,4.0,7.25,
12848,5.25,6.75,
12849,4.0,6.25,
12850,6.0,10.0,
12851,6.0,9.0,
12852,6.0,9.25,
12853,6.75,11.0,
12854,6.25,9.25,
12855,5.5,8.25,
12856,5.5,8.75,
12857,3.75,8.25,
12858,7.0,11.0,
12859,4.5,7.5,
12860,4.0,5.5,
12861,6.25,9.25,
12862,6.25,10.0,
12863,5.25,7.5,
