id,physical_description,size_cp,size,menu_format,unit
25284,CARD; ILLUS; 6 X 8;, 6 x 8,6x8,,
25285,FOLDER; COLOR; ILLUS; 4 X 6;, 4 x 6,4x6,,
25287,BOOKLET; COL; ILLUS; 6 X 8.25;, 6 x 8.25,6x8.25,,
25322,FOLDER; ILLUS; COL; 5X6.75;, 5x6.75,5x6.75,,
25323,CARD; ILLUS; COL; 4X7;, 4x7,4x7,,
25325,CARD; 4.25X 6.25;, 4.25x 6.25,4.25x6.25,,
25327,CARD; 3.75X5.25;, 3.75x5.25,3.75x5.25,,
25328,BROADSHEET; ILLUS; 4.25X7.25;, 4.25x7.25,4.25x7.25,,
25330,BOOKLET; ILLUS; COL; 6 X 7.5;, 6 x 7.5,6x7.5,,
25331,BOOKLET; ILLUS; 7 X 9;, 7 x 9,7x9,,
25332,FOLDER;4.5 X 5.75;,4.5 x 5.75,4.5x5.75,,
25333,FOLDER; ILLUS; 4.75 X 6.5;, 4.75 x 6.5,4.75x6.5,,
25334,CARD;ILL;COL;5X8;,5x8,5x8,,
25335,CARD;ILL;COL;5.25X8;,5.25x8,5.25x8,,
25336,CARD; ILL; 5.5X8.75;, 5.5x8.75,5.5x8.75,,
25337,FOLDER; ILLUS; COL; 4.5 X 7;, 4.5 x 7,4.5x7,,
14224,BROADSIDE;HOTEL EMBLEM;3.5 X 5.5;,3.5 x 5.5,3.5x5.5,,
25339,FOLDER;ILL;COL;4.5X7;,4.5x7,4.5x7,,
25340,BOOKLET; PHOTOGRAPH; 5.5 x 7.5;, 5.5 x 7.5,5.5x7.5,,
25341,CARD; 8X12;, 8x12,8x12,,
25343,BOOKLET; ILLUS; 5.5X7;, 5.5x7,5.5x7,,
25344,BROADSHEET; 4.5X7.25;, 4.5x7.25,4.5x7.25,,
14223,FOFLDER; 6 X 9;, 6 x 9,6x9,,
25346,BOOKLET; 5 X 7.25;, 5 x 7.25,5x7.25,,
25347,BROADSIDE; 3.5X5.75;, 3.5x5.75,3.5x5.75,,
25348,FOLDER; COL; ILLUS; 4.5 X 7.5;, 4.5 x 7.5,4.5x7.5,,
25349,CARD; ILLUS; COL; 5X9;, 5x9,5x9,,
25350,BROADSIDE; HOTEL EMBLEM; COL; 4 X 7.5;, 4 x 7.5,4x7.5,,
25321,CARD; 5 X 9;, 5 x 9,5x9,,
25320,CARD; ILLUS; 6.5 X 8;, 6.5 x 8,6.5x8,,
25318,CARD; ILLUS; 5 X 8;, 5 x 8,5x8,,
25301,BROADSHEET; COL; ILLUS; 10.25 X 9.5;, 10.25 x 9.5,10.25x9.5,,
25288,BOOKLET; ILLUS; COL; 5.5 X 7;, 5.5 x 7,5.5x7,,
25289,FOLDER; ILLUS; COL; 6.5 X 5.25;, 6.5 x 5.25,6.5x5.25,,
25290,FOLDER; 6.5 X 10.5;, 6.5 x 10.5,6.5x10.5,,
25291,CARD;ILL;COL;3.25X5;,3.25x5,3.25x5,,
25292,CARD; 8X7;, 8x7,8x7,,
25293,FOLDER; ILLUS; 5.5 X 4.5;, 5.5 x 4.5,5.5x4.5,,
25294,CARD;ILL;COL;5.25X8;,5.25x8,5.25x8,,
25295,FOLDER; ILLUS; COL; 4X6.25;, 4x6.25,4x6.25,,
25296,BROADSIDE;ILLUS;COL;4X5.75;,4x5.75,4x5.75,,
25297,CARD; ILLUS; COL; 4.25X5.75;, 4.25x5.75,4.25x5.75,,
25299,CARD; 5X8;, 5x8,5x8,,
25303,FOLDER;ILLUS;COL;5X9;,5x9,5x9,,
25317,BROADSIDE; 5.5 X 8.5;, 5.5 x 8.5,5.5x8.5,,
25305,FOLDER; ILLUS;4.25X6.5;,4.25x6.5,4.25x6.5,,
25306,CARD; 7.0X11.0;, 7.0x11.0,7.0x11.0,,
25307,CARD;ILLUS;COL;5X9;,5x9,5x9,,
25309,FOLDER;ILLUS;9X6.25;,9x6.25,9x6.25,,
25310,CARD;5.5X7.5;,5.5x7.5,5.5x7.5,,
25311,CARD; 3.5X5.5;, 3.5x5.5,3.5x5.5,,
25312,FOLDER; ILLUS; COL; 4.5 X 6.75;, 4.5 x 6.75,4.5x6.75,,
25313,CARD; ILLUS; COL; 6 X 8;, 6 x 8,6x8,,
25314,BOOKLET; ILLUS; 5.5 X 8.5;, 5.5 x 8.5,5.5x8.5,,
25315,CARD; 5.5 X 8;, 5.5 x 8,5.5x8,,
25316,FOLDER; ILLUS; COL; 6X7.75;, 6x7.75,6x7.75,,
25217,BOOKLET; ILLUS; COL; 8.5X12.25;, 8.5x12.25,8.5x12.25,,
25215,FOLDER;ILLUS;8.5X14;,8.5x14,8.5x14,,
25354,BROADSIDE; 5.25X8.75;, 5.25x8.75,5.25x8.75,,
25107,CARD;ILLUS;COL;5.5X8.5;,5.5x8.5,5.5x8.5,,
25109,FOLDER; ILLUS; COL; 4.5X7;, 4.5x7,4.5x7,,
25110,BROADSIDE; ILLUS; COL; 4.5 X6.25;, 4.5 x6.25,4.5x6.25,,
25111,"CARD; ILLUS; COL; 5,25X8.75;",25x8.75,5.25x8.75,,
25112,FOLDER; COL; 7X11, 7x11,7x11,,
25113,BROADSIDE; ILLUS; COL;6X7.75;,6x7.75,6x7.75,,
25116,CARD;ILL;COL;5.25X8;,5.25x8,5.25x8,,
25117,CARD; 4.4 X 6.75;, 4.4 x 6.75,4.4x6.75,,
25119,CARD;ILL;COL;3.25X5;,3.25x5,3.25x5,,
25120,BOOKLET;ILL;5.25X7.5;,5.25x7.5,5.25x7.5,,
25121,CARD;6X8.75;,6x8.75,6x8.75,,
25122,FOLDER; ILLUS; 5X7.25;, 5x7.25,5x7.25,,
25123,CARD;4X6.25;,4x6.25,4x6.25,,
25125,BOOKLET; ILLUS; COL; 5 X 6.25;, 5 x 6.25,5x6.25,,
25126,BOOKLET; HOTEL EMBLEM IN GOLD; BLACK COVER; 4.5 X 8;, 4.5 x 8,4.5x8,,
25127,CARD;ILL;COL;5.5X8.25;,5.5x8.25,5.5x8.25,,
25128,FOLDER; ILLUS; 5.5 X 9.5;, 5.5 x 9.5,5.5x9.5,,
25130,BROADSIDE; 4 X 8;, 4 x 8,4x8,,
25131,BROADSIDE;ILLUS;COL;4.5X7;,4.5x7,4.5x7,,
25132,BROADSHEET; 44.5 X 8;, 44.5 x 8,44.5x8,,
25133,BOOKLET; ILLUS; COL; 8.75X11;, 8.75x11,8.75x11,,
14236,OLDER; COL; 4.5 X 6.5;, 4.5 x 6.5,4.5x6.5,,
25135,FOLDER;ILLUS;COL;4.5X7.25;,4.5x7.25,4.5x7.25,,
25136,FOLDER; ILLUS; PHOTOGRAPH; 5.5 X 8;, 5.5 x 8,5.5x8,,
14231,BROADSIDE; ILLUS; COL; 5.5 X8.25;, 5.5 x8.25,5.5x8.25,,
25138,CARD; 5.5 X 6.5;, 5.5 x 6.5,5.5x6.5,,
25108,CARD; COL; ILLUS; 6X10;, 6x10,6x10,,
